Name,POS,Average,Median,Minimum,Maximum,Last 10,Roster%,norm
Shohei Ohtani LAD,Util/SP,78.64,78.0,48,107,82.9,100%,shohei ohtani
Aaron Judge NYY,OF,69.13,69.5,37,110,58.6,100%,aaron judge
Juan Soto NYM,OF,67.38,68.0,39,95,62.0,100%,juan soto
Fernando Tatis Jr. SDP,2B/OF,50.86,51.0,27,73,39.3,100%,fernando tatis
Bobby Witt Jr. KCR,SS,50.53,50.0,24,85,62.1,100%,bobby witt
Ronald Acuña Jr. ATL,OF,50.39,50.0,22,82,46.9,100%,ronald acuna
José Ramírez CLE,3B,50.21,51.0,20,79,34.3,99.709%,jose ramirez
Yordan Alvarez HOU,OF,47.33,47.0,25,69,44.7,100%,yordan alvarez
Vladimir Guerrero Jr. TOR,1B,46.92,48.0,25,77,28.7,99.128%,vladimir guerrero
Kyle Tucker LAD,OF,44.62,45.0,26,62,40.4,100%,kyle tucker
Julio Rodriguez SEA,OF,42.3,42.0,16,69,41.4,100%,julio rodriguez
Paul Skenes PIT,SP,40.22,39.0,14,77,53.6,100%,paul skenes
Yoshinobu Yamamoto LAD,SP,39.81,39.0,23,63,41.9,100%,yoshinobu yamamoto
Tarik Skubal DET,SP,39.44,39.0,13,69,36.8,100%,tarik skubal
Corbin Carroll ARI,OF,37.38,37.0,10,64,44.1,100%,corbin carroll
Francisco Lindor NYM,SS,36.82,38.0,18,58,28.8,100%,francisco lindor
Gunnar Henderson BAL,SS,36.17,36.0,15,62,39.1,100%,gunnar henderson
Bryce Harper PHI,1B,36.01,36.0,14,59,33.9,100%,bryce harper
Kyle Schwarber PHI,OF,35.12,35.0,17,56,38.1,100%,kyle schwarber
Pete Alonso BAL,1B,34.11,34.0,16,57,29.7,100%,pete alonso
Matt Olson ATL,1B,33.56,34.0,16,59,30.2,100%,matt olson
Rafael Devers SFG,1B,32.89,32.0,10,56,23.7,99.709%,rafael devers
Trea Turner PHI,SS,32.87,33.0,10,55,18.0,98.837%,trea turner
Mookie Betts LAD,SS,31.14,31.0,10,68,22.2,99.709%,mookie betts
Freddie Freeman LAD,1B,30.6,30.0,9,80,28.0,100%,freddie freeman
Elly De La Cruz CIN,SS,30.39,29.0,8,60,38.6,100%,elly de la cruz
Corey Seager TEX,SS,29.44,29.0,9,56,17.1,93.023%,corey seager
Ketel Marte ARI,2B,29.32,29.0,8,47,32.0,100%,ketel marte
Max Fried NYY,SP,28.03,28.0,14,43,25.4,100%,max fried
Logan Webb SFG,SP,27.26,27.0,11,48,22.5,100%,logan webb
Manny Machado SDP,3B,26.51,27.0,10,56,15.1,97.384%,manny machado
Dylan Cease TOR,SP,25.25,25.0,14,43,27.8,100%,dylan cease
Seiya Suzuki CHC,OF,25.14,25.0,11,42,22.0,100%,seiya suzuki
Austin Riley ATL,3B,25.01,26.0,2,45,17.1,84.302%,austin riley
Garrett Crochet BOS,SP,24.92,24.0,5,64,26.1,100%,garrett crochet
Framber Valdez DET,SP,24.33,25.0,8,41,14.6,94.186%,framber valdez
Logan Gilbert SEA,SP,24.02,23.0,12,45,27.3,100%,logan gilbert
Bo Bichette NYM,SS/3B,23.22,23.0,2,54,16.5,99.709%,bo bichette
Alex Bregman CHC,3B,23.19,24.0,1,40,10.4,97.674%,alex bregman
Cal Raleigh SEA,C,23.06,23.0,9,61,16.1,97.965%,cal raleigh
Jackson Chourio MIL,OF,22.73,21.5,6,52,34.0,100%,jackson chourio
Junior Caminero TBR,3B,22.43,21.0,7,76,43.2,100%,junior caminero
