name,MinorMasterId,MLBAMId,age,level,team,Position,Bats,pscore,score_p,pa,woba,xwoba,wrcplus,iso,bbrate,krate,chaserate,whiffrate,zcontact,ev90,maxev,barrelpa,bat_speed,spd,savant_url,UPURL
Jonathon Long,sa3022864,675085.0,24,AAA,0,1B,R,39.93099843036287,0.8934169278996865,387,0.34700000000000003,0.314,0.0,0.162,10.6,20.4,25.17006802721089,23.1,81.31634819532907,106.5,111.7,4.3927648578811365,0.0,3.52981,Jonathon-Long-675085,/players/jonathon-long/sa3022864/stats/batting
James Tibbs III,sa3025333,696486.0,23,AAA,0,1B/OF,L,46.894442555468814,0.9655172413793104,395,0.41,0.379,0.0,0.267,16.2,25.1,20.865704772475027,32.0,76.4367816091954,105.4,110.2,9.620253164556964,0.0,4.851,James-Tibbs-III-696486,/players/james-tibbs/sa3025333/stats/batting
Jonah Bride,sa3007516,681146.0,30,AAA,0,1B/3B,R,13.55070616654114,0.13166144200626959,356,0.361,0.316,0.0,0.14800000000000002,16.0,18.3,22.932330827067666,14.7,89.3732970027248,99.4,105.5,1.9662921348314608,0.0,4.164680000000001,Jonah-Bride-681146,/players/jonah-bride/24703/stats/batting
Zach Ehrhard,sa3025247,701394.0,23,AAA,0,OF,R,43.95932616115014,0.9498432601880877,377,0.38299999999999995,0.34,0.0,0.201,14.6,20.2,22.318125770653516,21.6,83.29571106094808,102.9,111.0,5.3050397877984095,0.0,5.01509,Zach-Ehrhard-701394,/players/zachary-ehrhard/sa3025247/stats/batting
Jack Suwinski,sa918314,669261.0,27,AAA,0,OF,L,31.97789723005955,0.725705329153605,350,0.40700000000000003,0.35600000000000004,0.0,0.276,12.3,22.9,23.704663212435236,23.7,79.67806841046276,106.3,115.0,8.857142857142854,0.0,5.121180000000001,Jack-Suwinski-669261,/players/jack-suwinski/22244/stats/batting
BJ Murray,sa3017287,681230.0,26,AAA,0,1B/3B,S,38.485806644045034,0.8699059561128527,364,0.42100000000000004,0.376,0.0,0.21899999999999997,12.9,20.9,22.846441947565545,23.1,84.91735537190083,104.7,111.3,5.21978021978022,0.0,6.2725800000000005,BJ-Murray-681230,/players/bertram-murray/sa3017287/stats/batting
Christian Cairo,sa3010028,686551.0,25,AAA,0,2B/3B/SS,R,30.75164725503304,0.6974921630094044,366,0.34700000000000003,0.322,0.0,0.08,18.3,16.4,18.70967741935484,23.0,85.84474885844749,100.0,107.5,1.0928961748633879,0.0,5.65373,Christian-Cairo-686551,/players/christian-cairo/sa3010028/stats/batting
Max Clark,sa3022683,703601.0,21,AAA,0,OF,L,47.60114364960646,0.9717868338557993,369,0.331,0.322,0.0,0.142,10.8,14.9,20.74742268041237,14.1,91.3793103448276,104.4,111.3,2.9810298102981028,0.0,6.770510000000001,Max-Clark-703601,/players/maxwell-clark/sa3022683/stats/batting
Ryan Clifford,sa3020126,691775.0,22,AAA,0,1B/OF,L,40.56677737629014,0.9059561128526645,352,0.295,0.293,0.0,0.19699999999999998,10.8,36.6,29.46544980443285,33.3,73.87387387387388,107.9,113.1,5.6818181818181825,0.0,5.40492,Ryan-Clifford-691775,/players/ryan-clifford/sa3020126/stats/batting
Héctor Rodríguez,sa3015828,699302.0,22,AAA,0,OF,L,47.307029890397864,0.9670846394984326,389,0.386,0.34299999999999997,0.0,0.265,10.0,20.6,35.537190082644635,24.3,83.66336633663366,107.3,113.7,7.197943444730077,0.0,5.79548,Héctor-Rodríguez-699302,/players/hctor-rodrguez/sa3015828/stats/batting
