name,MinorMasterId,MLBAMId,age,level,team,Position,Throws,pscore,score_p,ip,krate,bbrate,chaserate,whiffrate,zcontact,velocity,spin_rate,xwoba,woba,savant_url,UPURL
Josh Stephan,sa3015286,695776.0,24,AAA,0,P,R,27.76776287089313,0.7030456852791879,91.0,22.6,6.8,27.59601706970128,21.7,83.66606170598911,87.8,2128.0,0.297,0.36200000000000004,Josh-Stephan-695776,/players/joshua-stephan/sa3015286/stats/pitching
Nestor German,sa3023517,815148.0,24,AAA,0,P,R,41.128034415138785,0.9568527918781726,91.1,25.5,8.6,29.161451814768466,27.9,81.1023622047244,88.1,2196.0,0.264,0.295,Nestor-German-815148,/players/nestor-german/sa3023517/stats/pitching
Christian Romero,sa3016260,699071.0,23,AAA,0,P,R,26.272504110500897,0.649746192893401,89.2,17.6,7.5,26.91256830601093,17.7,86.93069306930694,88.6,2244.0,0.312,0.325,Christian-Romero-699071,/players/christian-romero/sa3016260/stats/pitching
Joey Estes,sa3011637,683155.0,24,AAA,0,P,R,23.684427800815808,0.5596446700507615,82.0,16.8,11.4,26.86762778505898,24.8,79.92277992277992,87.7,2342.0,0.354,0.386,Joey-Estes-683155,/players/joey-estes/26257/stats/pitching
Noah Davis,sa3010556,663562.0,29,AAA,0,P,R,14.837335773267842,0.2017766497461929,88.0,19.1,10.7,25.50761421319797,23.4,85.68329718004337,87.3,2318.0,0.306,0.331,Noah-Davis-663562,/players/noah-davis/25862/stats/pitching
Davis Daniel,sa3015037,669721.0,29,AAA,0,P,R,14.243076313846716,0.17385786802030456,89.2,22.8,9.0,25.616438356164387,20.9,85.04098360655738,87.3,1918.0,0.321,0.33299999999999996,Davis-Daniel-669721,/players/davis-daniel/27582/stats/pitching
Carson Whisenhunt,sa3020529,687931.0,25,AAA,0,P,L,36.39067241392487,0.8959390862944162,82.1,25.6,10.5,28.99106002554279,30.9,77.25321888412017,88.5,2198.0,0.29100000000000004,0.303,Carson-Whisenhunt-687931,/players/carson-whisenhunt/31676/stats/pitching
Brett Kerry,sa3017390,695049.0,27,AAA,0,P,R,19.212004075169013,0.37817258883248733,81.0,20.2,7.4,25.614489003880987,25.3,84.35517970401692,86.2,2080.0,0.34299999999999997,0.413,Brett-Kerry-695049,/players/brett-kerry/29826/stats/pitching
Brody Hopkins,sa3023515,811315.0,24,AAA,0,P,R,37.19868865366855,0.9073604060913706,77.2,27.2,21.1,23.26732673267327,34.0,76.78100263852242,93.3,2494.0,0.327,0.319,Brody-Hopkins-811315,/players/william-hopkins/sa3023515/stats/pitching
Jhonathan Díaz,sa828483,646242.0,29,AAA,0,P,L,10.103416017176777,0.06345177664974619,85.0,17.3,8.5,26.344827586206893,17.2,90.74492099322799,81.4,2352.0,0.305,0.361,Jhonathan-Díaz-646242,/players/jhonathan-diaz/20298/stats/pitching
Quinn Mathews,sa3023407,687273.0,25,AAA,0,P,L,34.180175829608274,0.8616751269035533,85.0,29.5,14.3,26.641414141414145,32.1,80.64516129032258,88.1,2150.0,0.293,0.28600000000000003,Quinn-Mathews-687273,/players/quinn-mathews/sa3023407/stats/pitching
Dom Hamel,sa3017949,687589.0,27,AAA,0,P,R,17.731289562587353,0.31218274111675126,79.0,17.7,11.4,25.064935064935064,25.8,80.71748878923765,86.5,2386.0,0.337,0.379,Dom-Hamel-687589,/players/dominic-hamel/30153/stats/pitching
George Klassen,sa3023440,691946.0,24,AAA,0,P,R,36.62294157867107,0.8972081218274112,78.1,21.9,13.5,26.892950391644913,29.3,80.95238095238095,92.5,2178.0,0.298,0.321,George-Klassen-691946,/players/george-klassen/33464/stats/pitching
Ryan Ramsey,sa3020605,687547.0,25,AAA,0,P,L,22.65018986733244,0.5152284263959391,78.0,20.2,11.2,27.77085927770859,24.5,81.23456790123456,85.8,2356.0,0.332,0.355,Ryan-Ramsey-687547,/players/ryan-ramsey/sa3020605/stats/pitching
Jackson Wolf,sa3017384,680232.0,27,AAA,0,P,L,20.553428809389167,0.4352791878172589,79.2,21.4,9.2,26.721763085399452,26.1,84.28571428571429,84.7,2246.0,0.313,0.354,Jackson-Wolf-680232,/players/jackson-wolf/29832/stats/pitching
Jack Wenninger,sa3023282,811307.0,24,AAA,0,P,R,27.813160011961696,0.7043147208121827,79.2,22.5,12.9,24.648786717752238,28.6,82.11586901763224,88.9,2051.0,0.34,0.322,Jack-Wenninger-811307,/players/jonathan-wenninger/sa3023282/stats/pitching
Brendan Beck,sa3020680,694341.0,27,AAA,0,P,R,27.23636490844548,0.6802030456852792,93.1,25.4,7.9,32.118758434547914,27.9,82.66666666666667,86.4,2081.0,0.273,0.267,Brendan-Beck-694341,/players/brendan-beck/33043/stats/pitching
Logan Allen,sa3014444,671106.0,27,AAA,0,P,L,25.42238825889689,0.6269035532994924,80.0,27.5,9.0,27.48618784530387,28.1,80.85106382978722,85.4,2025.0,0.27699999999999997,0.342,Logan-Allen-671106,/players/logan-allen/27589/stats/pitching
Grant Rogers,sa3023522,814804.0,25,AAA,0,P,R,17.57991005426521,0.30583756345177665,84.2,13.9,6.7,23.794712286158628,15.7,89.21775898520085,87.3,2030.0,0.314,0.373,Grant-Rogers-814804,/players/grant-rogers/sa3023522/stats/pitching
Gabe Mosser,sa3006834,682077.0,30,AAA,0,P,R,11.343054212538133,0.09771573604060914,86.0,17.0,7.7,28.71287128712871,20.7,87.24373576309793,84.6,2471.0,0.319,0.33,Gabe-Mosser-682077,/players/gabe-mosser/sa3006834/stats/pitching
Valente Bellozo,sa3006119,678368.0,26,AAA,0,P,R,10.848465990231867,0.08756345177664974,72.1,11.7,11.5,25.072463768115945,16.2,88.35616438356165,83.1,2236.0,0.35200000000000004,0.42,Valente-Bellozo-678368,/players/valente-bellozo/23899/stats/pitching
Jonah Tong,sa3022324,804636.0,23,AAA,0,P,R,34.12072916724315,0.8604060913705583,71.0,26.5,13.2,27.52420470262794,27.4,82.06388206388206,89.8,2176.0,0.341,0.365,Jonah-Tong-804636,/players/jonah-tong/32157/stats/pitching
Yu-Min Lin,sa3019278,801179.0,23,AAA,0,P,L,18.949636768020106,0.366751269035533,76.0,14.9,11.2,24.821683309557773,18.8,87.96992481203007,85.8,2301.0,0.34299999999999997,0.359,Yu-Min-Lin-801179,/players/yu-min-lin/sa3019278/stats/pitching
Jonathan Cannon,sa3020591,686563.0,26,AAA,0,P,R,27.03463345101241,0.6763959390862944,72.0,20.0,10.0,31.64005805515239,24.5,84.009009009009,89.1,2220.0,0.31,0.369,Jonathan-Cannon-686563,/players/jonathan-cannon/31730/stats/pitching
Bradley Blalock,sa3011809,687134.0,25,AAA,0,P,R,26.2304251609365,0.6472081218274112,77.2,22.3,9.5,24.928774928774928,24.7,85.4014598540146,90.1,2151.0,0.34,0.358,Bradley-Blalock-687134,/players/bradley-blalock/26419/stats/pitching
Andry Lara,sa3014716,691251.0,23,AAA,0,P,R,28.423931782651053,0.7195431472081218,79.0,18.7,7.9,29.351032448377577,22.5,86.45320197044335,90.4,1862.0,0.314,0.332,Andry-Lara-691251,/players/andry-lara/27967/stats/pitching
Dylan File,sa3004197,668766.0,30,AAA,0,P,R,13.178409257834998,0.14213197969543148,80.0,17.9,8.0,32.842415316642125,21.4,86.27906976744188,88.0,2363.0,0.321,0.35200000000000004,Dylan-File-668766,/players/dylan-file/sa3004197/stats/pitching
Evan Fitterer,sa3011433,683157.0,26,AAA,0,P,R,21.72478337794981,0.4796954314720812,72.2,14.4,12.8,24.20749279538905,20.3,86.29441624365481,90.1,2186.0,0.303,0.318,Evan-Fitterer-683157,/players/evan-fitterer/sa3011433/stats/pitching
Kade Morris,sa3023206,695034.0,24,AAA,0,P,R,27.50107612118969,0.6954314720812182,81.2,17.4,8.6,29.8780487804878,19.6,87.83454987834551,89.8,2168.0,0.318,0.363,Kade-Morris-695034,/players/kade-morris/33787/stats/pitching
Logan Workman,sa3017313,694312.0,27,AAA,0,P,R,26.60795542957896,0.6637055837563451,66.0,25.6,12.1,28.31050228310502,28.4,77.38095238095238,89.1,2274.0,0.336,0.375,Logan-Workman-694312,/players/logan-workman/sa3017313/stats/pitching
Chandler Champlain,sa3018138,669441.0,26,AAA,0,P,R,17.279373126559193,0.2906091370558376,87.0,15.5,4.8,23.91304347826087,19.5,85.38622129436325,87.1,2265.0,0.306,0.276,Chandler-Champlain-669441,/players/chandler-champlain/sa3018138/stats/pitching
Rorik Maltrud,sa3023510,702045.0,26,AAA,0,P,R,29.81883733486104,0.75,82.0,21.8,7.4,31.16279069767442,25.3,83.49056603773585,88.0,2220.0,0.285,0.295,Rorik-Maltrud-702045,/players/rorik-maltrud/sa3023510/stats/pitching
Kohl Drake,sa3021723,684442.0,26,AAA,0,P,L,21.35403450616826,0.4682741116751269,66.1,19.5,10.1,28.783382789317514,23.2,83.29048843187661,86.9,2183.0,0.325,0.361,Kohl-Drake-684442,/players/kohl-drake/sa3021723/stats/pitching
CJ Van Eyk,sa3014713,669310.0,27,AAA,0,P,R,19.821697826962183,0.40609137055837563,78.1,17.3,7.7,29.87616099071208,22.2,85.92592592592592,87.0,2079.0,0.32,0.317,CJ-Van-Eyk-669310,/players/cj-van-eyk/27568/stats/pitching
Brycen Mautz,sa3020710,802408.0,25,AAA,0,P,L,25.397304751978627,0.6243654822335025,71.0,22.4,16.1,22.054380664652566,27.1,83.6111111111111,86.9,2209.0,0.314,0.309,Brycen-Mautz-802408,/players/brycen-mautz/31910/stats/pitching
Trenton Denholm,sa3018139,671143.0,26,AAA,0,P,R,30.875044331737122,0.7804568527918782,77.0,23.6,6.9,30.632090761750412,24.7,81.68674698795179,87.6,1992.0,0.27399999999999997,0.322,Trenton-Denholm-671143,/players/trenton-denholm/sa3018139/stats/pitching
Antwone Kelly,sa3015489,699008.0,22,AAA,0,P,R,29.15088608646276,0.7385786802030457,72.2,17.2,10.4,29.05718701700155,23.6,84.03990024937656,92.2,2029.0,0.35200000000000004,0.34700000000000003,Antwone-Kelly-699008,/players/antwone-kelly/29000/stats/pitching
Adam Kloffenstein,sa3008578,680572.0,25,AAA,0,P,R,26.63722133541335,0.6649746192893401,71.1,20.2,12.2,29.215116279069772,28.3,84.28571428571429,87.6,2311.0,0.331,0.34700000000000003,Adam-Kloffenstein-680572,/players/adam-kloffenstein/24493/stats/pitching
Luis Perales,sa3014677,691384.0,23,AAA,0,P,R,37.76326890530394,0.9149746192893401,73.2,21.3,12.9,27.914110429447852,26.8,81.29870129870129,93.0,2024.0,0.293,0.297,Luis-Perales-691384,/players/luis-perales/sa3014677/stats/pitching
Tucker Davidson,sa918393,656353.0,30,AAA,0,P,L,11.113391147582265,0.09390862944162437,67.0,20.8,14.6,24.05660377358491,24.0,84.51086956521739,86.5,1976.0,0.358,0.375,Tucker-Davidson-656353,/players/tucker-davidson/19871/stats/pitching
Colton Gordon,sa3019426,676467.0,27,AAA,0,P,L,19.180980424376344,0.3756345177664975,5.0,18.9,4.8,29.982046678635548,18.9,85.8744394618834,85.6,2126.0,0.29,0.304,Colton-Gordon-676467,/players/colton-gordon/31312/stats/pitching
John Michael Bertrand,sa3020082,802609.0,28,AAA,0,P,L,10.387471636896667,0.07233502538071065,67.0,14.6,11.7,26.93498452012384,18.0,90.27027027027029,85.6,1883.0,0.34299999999999997,0.354,John-Michael-Bertrand-802609,/players/john-michael-bertrand/sa3020082/stats/pitching
JP Sears,sa3004100,676664.0,30,AAA,0,P,L,14.092506867769885,0.1700507614213198,63.2,20.3,9.3,26.366559485530548,23.6,82.78481012658227,88.5,1986.0,0.32299999999999995,0.392,JP-Sears-676664,/players/jp-sears/23429/stats/pitching
Ryan Cusick,sa3017385,680743.0,26,AAA,0,P,R,22.201397547258647,0.4949238578680203,61.0,18.6,18.2,23.896499238964985,27.7,82.40469208211144,91.0,2177.0,0.36200000000000004,0.384,Ryan-Cusick-680743,/players/ryan-cusick/sa3017385/stats/pitching
Ryan Webb,sa3018280,669067.0,27,AAA,0,P,L,13.934351157806606,0.1649746192893401,57.0,19.3,23.0,23.14165497896213,27.1,85.61151079136691,85.6,2108.0,0.384,0.433,Ryan-Webb-669067,/players/ryan-webb/sa3018280/stats/pitching
Trey Supak,sa828707,657022.0,30,AAA,0,P,R,11.926686053225104,0.1116751269035533,68.2,15.7,8.7,29.50257289879931,20.3,86.66666666666669,86.2,2254.0,0.31,0.358,Trey-Supak-657022,/players/treyson-supak/sa828707/stats/pitching
Blade Tidwell,sa3020177,694918.0,25,AAA,0,P,R,40.920847828755676,0.9543147208121827,61.1,26.2,10.9,28.934010152284266,28.7,78.08988764044943,89.4,2332.0,0.281,0.33799999999999997,Blade-Tidwell-694918,/players/blade-tidwell/31701/stats/pitching
Sawyer Gipson-Long,sa3011536,687830.0,28,AAA,0,P,R,20.765804564209443,0.44923857868020306,69.2,22.4,8.9,31.42857142857143,27.8,84.61538461538461,87.0,2166.0,0.309,0.322,Sawyer-Gipson-Long-687830,/players/sawyer-gipson-long/26048/stats/pitching
Carlos Lagrange,sa3019390,801739.0,23,AAA,0,P,R,42.22785264260983,0.9606598984771574,63.1,29.7,12.0,26.885245901639344,31.3,79.04191616766467,92.8,2336.0,0.308,0.332,Carlos-Lagrange-801739,/players/carlos-lagrange/sa3019390/stats/pitching
Mitch Spence,sa1169885,687765.0,28,AAA,0,P,R,22.35929364737986,0.5,69.0,19.1,6.7,31.62251655629139,26.9,84.84848484848484,87.9,2480.0,0.306,0.34700000000000003,Mitch-Spence-687765,/players/mitch-spence/27707/stats/pitching
Sean Boyle,sa3007618,682044.0,29,AAA,0,P,R,15.000982927964568,0.20939086294416243,70.1,18.4,6.5,29.40074906367041,24.2,83.08080808080808,85.1,2344.0,0.312,0.355,Sean-Boyle-682044,/players/sean-boyle/sa3007618/stats/pitching
Alan Rangel,sa877578,660604.0,28,AAA,0,P,R,23.31438768282361,0.5418781725888325,70.0,25.2,9.3,29.74910394265233,30.4,75.8974358974359,86.6,2154.0,0.32299999999999995,0.331,Alan-Rangel-660604,/players/alan-rangel/19524/stats/pitching
Elmer Rodríguez,sa3019459,695684.0,22,AAA,0,P,R,32.26264092514364,0.8134517766497462,66.1,24.5,12.4,25.20593080724877,24.3,84.03908794788273,88.9,1992.0,0.293,0.297,Elmer-Rodríguez-695684,/players/elmer-rodriguez/31811/stats/pitching
Patrick Monteverde,sa3016940,687287.0,28,AAA,0,P,L,15.724256019820047,0.22588832487309646,69.1,18.2,7.9,30.96446700507614,24.1,80.89887640449437,83.9,2052.0,0.35100000000000003,0.354,Patrick-Monteverde-687287,/players/patrick-monteverde/29564/stats/pitching
Luis Morales,sa3021487,806960.0,23,AAA,0,P,R,32.46442403486825,0.8185279187817259,52.2,22.4,13.0,22.508038585209004,30.1,82.70440251572326,91.5,2578.0,0.32799999999999996,0.413,Luis-Morales-806960,/players/luis-morales/32227/stats/pitching
