platform,league_name,team_name,player,positions,mlb_team,salary,fg_id,mlbam,is_pitcher
ottoneu,Chasing Taters,Bauers Fight Club,Hunter Greene,SP,CIN,32.0,22182.0,668881.0,True
ottoneu,Chasing Taters,Bauers Fight Club,Cole Ragans,SP,KCR,22.0,21846.0,666142.0,True
ottoneu,Chasing Taters,Bauers Fight Club,Edwin Diaz,RP,LAD,22.0,14710.0,621242.0,True
ottoneu,Chasing Taters,Bauers Fight Club,Nick Lodolo,SP,CIN,19.0,26378.0,666157.0,True
ottoneu,Chasing Taters,Bauers Fight Club,Kerry Carpenter,OF,DET,17.0,25961.0,681481.0,False
ottoneu,Chasing Taters,Bauers Fight Club,Logan Webb,SP,SFG,15.0,17995.0,657277.0,True
ottoneu,Chasing Taters,Bauers Fight Club,Gerrit Cole,SP,NYY,13.0,13125.0,543037.0,True
ottoneu,Chasing Taters,Bauers Fight Club,Bryan Abreu,RP,HOU,11.0,16609.0,650556.0,True
ottoneu,Chasing Taters,Bauers Fight Club,Brice Turang,2B,MIL,8.0,22186.0,668930.0,False
ottoneu,Chasing Taters,Bauers Fight Club,Casey Mize,SP,DET,7.0,20492.0,663554.0,True
ottoneu,Chasing Taters,Bauers Fight Club,Jeremiah Estrada,RP,SDP AAA,7.0,22210.0,669093.0,True
ottoneu,Chasing Taters,Bauers Fight Club,Matt Chapman,3B,SFG,7.0,16505.0,656305.0,False
ottoneu,Chasing Taters,Bauers Fight Club,Reid Detmers,SP/RP,LAA,5.0,27468.0,672282.0,True
ottoneu,Chasing Taters,Bauers Fight Club,Spencer Steer,1B/2B/OF,CIN,5.0,26323.0,668715.0,False
ottoneu,Chasing Taters,Bauers Fight Club,Andres Gimenez,2B/SS,TOR,4.0,19950.0,665926.0,False
ottoneu,Chasing Taters,Bauers Fight Club,Wilyer Abreu,OF,BOS,4.0,23772.0,677800.0,False
ottoneu,Chasing Taters,Bauers Fight Club,Hagen Smith,SP,CHW AAA,3.0,,,True
ottoneu,Chasing Taters,Bauers Fight Club,Otto Lopez,2B/SS,MIA,3.0,19608.0,672640.0,False
ottoneu,Chasing Taters,Bauers Fight Club,Ildemaro Vargas,1B/2B/3B,ARI,3.0,13324.0,545121.0,False
ottoneu,Chasing Taters,Bauers Fight Club,Jakob Junis,RP,TEX,3.0,13619.0,596001.0,True
ottoneu,Chasing Taters,Bauers Fight Club,Dillon Dingler,C,DET,3.0,27464.0,693307.0,False
ottoneu,Chasing Taters,Bauers Fight Club,Noelvi Marte,3B/OF,CIN,3.0,26517.0,682622.0,False
ottoneu,Chasing Taters,Bauers Fight Club,Trent Grisham,OF,NYY,3.0,18564.0,663757.0,False
ottoneu,Chasing Taters,Bauers Fight Club,Parker Messick,SP,CLE,3.0,31986.0,800048.0,True
ottoneu,Chasing Taters,Bauers Fight Club,Ethan Salas,C,SDP AA,2.0,,,False
ottoneu,Chasing Taters,Bauers Fight Club,Trevor Larnach,OF,MIN,2.0,21501.0,663616.0,False
ottoneu,Chasing Taters,Bauers Fight Club,Luke Weaver,RP,NYM,2.0,16918.0,596133.0,True
ottoneu,Chasing Taters,Bauers Fight Club,Paul Sewald,RP,ARI,2.0,13892.0,623149.0,True
ottoneu,Chasing Taters,Bauers Fight Club,Romy Gonzalez,1B/2B,BOS,1.0,21562.0,663853.0,False
ottoneu,Chasing Taters,Bauers Fight Club,George Lombard Jr.,SS,NYY AAA,1.0,,136601.0,False
ottoneu,Chasing Taters,Bauers Fight Club,Eduardo Rodriguez,SP,ARI,1.0,13164.0,593958.0,True
ottoneu,Chasing Taters,Bauers Fight Club,Dakota Jordan,OF,SFG AA,1.0,,,False
ottoneu,Chasing Taters,Bauers Fight Club,Andrew Fischer,3B,MIL AA,1.0,,,False
ottoneu,Chasing Taters,Bauers Fight Club,Devin Taylor,OF,ATH AA,1.0,,,False
