"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Wood, James",695578,2026,484,258,0.27,0.278,-0.008,0.551,0.602,-0.0509999999999999,0.402,0.426,-0.0239999999999999
"Ward, Taylor",621493,2026,468,287,0.251,0.251,0.0,0.359,0.379,-0.02,0.341,0.348,-0.0069999999999999
"Henderson, Gunnar",683002,2026,467,317,0.225,0.236,-0.0109999999999999,0.405,0.383,0.022,0.306,0.304,0.002
"Bregman, Alex",608324,2026,458,325,0.239,0.234,0.0049999999999999,0.358,0.349,0.009,0.31,0.305,0.005
"Busch, Michael",683737,2026,452,272,0.244,0.231,0.0129999999999999,0.405,0.407,-0.0019999999999999,0.345,0.341,0.0039999999999999
"Herrera, Iván",671056,2026,451,300,0.241,0.241,0.0,0.373,0.368,0.005,0.333,0.332,0.001
"Neto, Zach",687263,2026,448,255,0.238,0.203,0.0349999999999999,0.446,0.402,0.0439999999999999,0.336,0.307,0.029
"Reynolds, Bryan",668804,2026,448,269,0.275,0.252,0.023,0.463,0.442,0.021,0.375,0.36,0.015
"Alonso, Pete",624413,2026,448,276,0.247,0.271,-0.024,0.461,0.504,-0.0429999999999999,0.35,0.376,-0.026
"Hoerner, Nico",663538,2026,447,370,0.244,0.29,-0.0459999999999999,0.337,0.366,-0.0289999999999999,0.29,0.32,-0.03
"Alvarez, Yordan",670541,2026,446,299,0.328,0.337,-0.009,0.656,0.721,-0.0649999999999999,0.45,0.477,-0.0269999999999999
"Crow-Armstrong, Pete",691718,2026,445,266,0.282,0.257,0.0249999999999999,0.517,0.463,0.0539999999999999,0.388,0.36,0.028
"Olson, Matt",621566,2026,444,290,0.27,0.25,0.02,0.532,0.509,0.023,0.374,0.36,0.014
"Tatis Jr., Fernando",665487,2026,444,312,0.286,0.289,-0.003,0.408,0.446,-0.038,0.333,0.357,-0.0239999999999999
"Caminero, Junior",691406,2026,443,305,0.29,0.282,0.008,0.559,0.513,0.046,0.397,0.378,0.019
"Turner, Trea",607208,2026,442,313,0.244,0.244,0.0,0.39,0.373,0.017,0.3,0.295,0.005
"Stewart, Sal",701398,2026,440,299,0.249,0.249,0.0,0.472,0.474,-0.002,0.342,0.349,-0.0069999999999999
"Bichette, Bo",666182,2026,440,330,0.256,0.281,-0.025,0.372,0.419,-0.0469999999999999,0.298,0.327,-0.029
"McGonigle, Kevin",805808,2026,439,312,0.282,0.267,0.0149999999999999,0.424,0.441,-0.017,0.362,0.361,0.001
"Albies, Ozzie",645277,2026,439,341,0.262,0.237,0.025,0.43,0.36,0.07,0.321,0.287,0.034
"Schwarber, Kyle",656941,2026,439,218,0.248,0.237,0.011,0.547,0.505,0.042,0.388,0.369,0.019
"Pages, Andy",681624,2026,438,308,0.268,0.268,0.0,0.459,0.441,0.018,0.343,0.338,0.005
"Turang, Brice",668930,2026,437,272,0.259,0.252,0.007,0.452,0.437,0.015,0.352,0.345,0.007
"Aranda, Jonathan",666018,2026,435,275,0.286,0.261,0.0249999999999999,0.447,0.446,0.001,0.362,0.357,0.005
"Vargas, Miguel",678246,2026,435,299,0.245,0.271,-0.026,0.486,0.53,-0.044,0.361,0.392,-0.031
"Wetherholt, JJ",802139,2026,435,310,0.257,0.259,-0.002,0.403,0.438,-0.0349999999999999,0.336,0.349,-0.0129999999999999
"Freeman, Freddie",518692,2026,434,309,0.289,0.292,-0.003,0.48,0.494,-0.014,0.371,0.38,-0.009
"Edwards, Xavier",669364,2026,434,324,0.29,0.265,0.0249999999999999,0.404,0.377,0.027,0.341,0.322,0.019
"Harper, Bryce",547180,2026,433,278,0.256,0.272,-0.016,0.493,0.504,-0.011,0.367,0.384,-0.017
"Ohtani, Shohei",660271,2026,433,265,0.283,0.29,-0.007,0.525,0.572,-0.0469999999999999,0.387,0.409,-0.0219999999999999
"Devers, Rafael",646240,2026,433,271,0.242,0.229,0.0129999999999999,0.468,0.446,0.022,0.334,0.32,0.014
"Marte, Ketel",606466,2026,432,336,0.258,0.291,-0.0329999999999999,0.461,0.491,-0.0299999999999999,0.332,0.361,-0.0289999999999999
"Abreu, Wilyer",677800,2026,429,298,0.261,0.261,0.0,0.451,0.477,-0.0259999999999999,0.338,0.348,-0.0099999999999999
"Lopez, Otto",672640,2026,428,342,0.332,0.29,0.042,0.499,0.443,0.0559999999999999,0.372,0.337,0.0349999999999999
"Díaz, Yandy",650490,2026,428,321,0.308,0.291,0.017,0.469,0.453,0.0159999999999999,0.371,0.362,0.009
"Lile, Daylen",695734,2026,428,319,0.244,0.255,-0.011,0.405,0.415,-0.0099999999999999,0.304,0.316,-0.012
"Bellinger, Cody",641355,2026,426,303,0.256,0.278,-0.022,0.417,0.42,-0.003,0.337,0.351,-0.0139999999999999
"Greene, Riley",682985,2026,424,253,0.285,0.259,0.0259999999999999,0.471,0.479,-0.008,0.368,0.363,0.005
"Burleson, Alec",676475,2026,424,322,0.279,0.298,-0.0189999999999999,0.462,0.537,-0.075,0.348,0.384,-0.036
"Arraez, Luis",650333,2026,424,378,0.32,0.283,0.037,0.446,0.369,0.077,0.345,0.302,0.0429999999999999
"Happ, Ian",664023,2026,423,231,0.222,0.206,0.016,0.433,0.414,0.019,0.336,0.323,0.013
"Abrams, CJ",682928,2026,423,286,0.286,0.262,0.0239999999999999,0.544,0.468,0.076,0.384,0.351,0.033
"Lowe, Brandon",664040,2026,423,267,0.243,0.245,-0.002,0.472,0.453,0.0189999999999999,0.336,0.336,0.0
"Adell, Jo",666176,2026,423,302,0.241,0.26,-0.019,0.398,0.439,-0.0409999999999999,0.301,0.325,-0.024
"Walker, Jordan",691023,2026,422,279,0.289,0.282,0.007,0.517,0.505,0.012,0.372,0.367,0.005
"Merrill, Jackson",701538,2026,420,286,0.225,0.248,-0.0229999999999999,0.377,0.434,-0.0569999999999999,0.287,0.318,-0.031
"Perdomo, Geraldo",672695,2026,419,305,0.237,0.248,-0.011,0.355,0.335,0.0199999999999999,0.321,0.325,-0.004
"Carroll, Corbin",682998,2026,419,271,0.252,0.25,0.002,0.49,0.445,0.0449999999999999,0.358,0.344,0.014
"Machado, Manny",592518,2026,418,278,0.202,0.236,-0.0339999999999999,0.428,0.435,-0.007,0.31,0.329,-0.019
"Rice, Ben",700250,2026,415,265,0.277,0.274,0.003,0.59,0.526,0.0639999999999999,0.402,0.382,0.02
"Witt Jr., Bobby",677951,2026,414,299,0.279,0.306,-0.0269999999999999,0.45,0.517,-0.067,0.346,0.386,-0.04
"Walker, Christian",572233,2026,414,276,0.234,0.222,0.012,0.452,0.379,0.073,0.329,0.298,0.031
"Naylor, Josh",647304,2026,413,327,0.261,0.274,-0.013,0.359,0.395,-0.036,0.303,0.321,-0.018
"Kurtz, Nick",701762,2026,412,204,0.266,0.25,0.016,0.497,0.493,0.004,0.389,0.379,0.01
