player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,max_ev,hard_hit_percent,k_percent,bb_percent,whiff_percent,chase_percent,arm_strength,xera,fb_velocity,fb_spin,curve_spin
"Suárez, Albert",544150,2026,34.0,31.0,24.0,23.0,55.0,43.0,23.0,35.0,32,41.0,12.0,59.0,42.0,20.0,,34.0,33.0,57.0,
"Slaten, Justin",686580,2026,,,,,,,,,61,,,,,,,,84.0,88.0,
"Boyle, Joe",671212,2026,,,,,,,,,70,,,,,,,,88.0,94.0,
"Senzatela, Antonio",622608,2026,69.0,45.0,70.0,82.0,62.0,63.0,80.0,69.0,28,39.0,37.0,58.0,49.0,56.0,,69.0,87.0,52.0,37.0
"Bowlan, Jonathan",680742,2026,96.0,90.0,94.0,93.0,95.0,95.0,93.0,96.0,66,92.0,95.0,90.0,94.0,72.0,,96.0,90.0,78.0,
"Walker, Ryan",676254,2026,38.0,26.0,50.0,69.0,12.0,79.0,64.0,96.0,52,69.0,7.0,14.0,1.0,8.0,,38.0,63.0,70.0,
"Silseth, Chase",681217,2026,64.0,82.0,68.0,53.0,52.0,55.0,17.0,87.0,79,86.0,88.0,10.0,95.0,58.0,,64.0,74.0,80.0,
"García, Luis",472610,2026,,,,,,,,,63,,,,,,,,59.0,28.0,
"Kuhnel, Joel",669270,2026,10.0,2.0,22.0,55.0,5.0,71.0,76.0,44.0,22,43.0,3.0,63.0,30.0,38.0,,10.0,61.0,46.0,
"Mills, Wyatt",670090,2026,,,,,,,,,81,,,,,,,,4.0,1.0,
"Bazardo, Eduard",660825,2026,55.0,38.0,54.0,67.0,56.0,55.0,47.0,12.0,49,35.0,56.0,63.0,24.0,31.0,,55.0,63.0,30.0,
"Bennett, Jake",687562,2026,89.0,73.0,70.0,63.0,95.0,55.0,69.0,84.0,3,70.0,28.0,98.0,42.0,98.0,,89.0,24.0,12.0,
"Martin, Corbin",656686,2026,,,,,,,,,81,,,,,,,,57.0,92.0,
"Booser, Cam",592155,2026,,,,,,,,,81,,,,,,,,69.0,1.0,
"Enns, Dietrich",608650,2026,,,,,,,,,76,,,,,,,,37.0,24.0,
"Acton, Garrett",670183,2026,,,,,,,,,62,,,,,,,,44.0,92.0,
"Poulin, PJ",676571,2026,12.0,31.0,22.0,19.0,5.0,50.0,21.0,4.0,59,14.0,10.0,7.0,2.0,2.0,,11.0,2.0,17.0,
"Sheehan, Emmet",686218,2026,56.0,64.0,43.0,31.0,71.0,18.0,20.0,38.0,43,44.0,76.0,66.0,84.0,91.0,,56.0,49.0,87.0,52.0
"Weissert, Greg",669711,2026,77.0,79.0,71.0,58.0,81.0,87.0,87.0,89.0,8,88.0,47.0,63.0,35.0,82.0,,77.0,37.0,30.0,
"Avila, Luinder",679883,2026,24.0,47.0,41.0,39.0,15.0,46.0,62.0,59.0,56,65.0,32.0,7.0,39.0,16.0,,24.0,78.0,89.0,70.0
"Nicolas, Kyle",693312,2026,,,,,,,,,49,,,,,,,,84.0,79.0,
"Yates, Kirby",489446,2026,,,,,,,,,28,,,,,,,,5.0,59.0,
"Detmers, Reid",672282,2026,74.0,75.0,70.0,61.0,80.0,15.0,44.0,28.0,24,54.0,80.0,61.0,75.0,67.0,,74.0,42.0,19.0,42.0
"Garcia, Julian",670062,2026,,,,,,,,,76,,,,,,,,21.0,99.0,
"Suarez, José",660761,2026,68.0,42.0,88.0,99.0,33.0,99.0,100.0,76.0,6,94.0,66.0,29.0,72.0,70.0,,68.0,22.0,70.0,
"Lynch IV, Daniel",663738,2026,76.0,73.0,75.0,71.0,76.0,71.0,69.0,83.0,39,76.0,41.0,59.0,82.0,53.0,,76.0,51.0,43.0,
"Patrick, Chad",694477,2026,48.0,39.0,38.0,41.0,52.0,35.0,56.0,42.0,2,53.0,35.0,39.0,54.0,55.0,,48.0,61.0,39.0,
"Sale, Chris",519242,2026,72.0,60.0,76.0,80.0,71.0,35.0,76.0,80.0,18,85.0,89.0,82.0,79.0,92.0,,72.0,74.0,54.0,
"Sewald, Paul",623149,2026,81.0,96.0,34.0,2.0,99.0,46.0,3.0,8.0,53,27.0,87.0,85.0,73.0,56.0,,81.0,9.0,98.0,
"Brubaker, JT",664141,2026,32.0,33.0,29.0,27.0,34.0,63.0,76.0,55.0,29,62.0,17.0,24.0,18.0,46.0,,32.0,34.0,33.0,70.0
"Palencia, Daniel",694037,2026,,,,,,,,,73,,,,,,,,99.0,73.0,
"Ober, Bailey",641927,2026,40.0,47.0,18.0,8.0,72.0,18.0,20.0,59.0,4,81.0,14.0,82.0,11.0,41.0,,40.0,1.0,49.0,
